Title,Title_URL,Score,Max_Score,Name_URL,Name,View,actions,text
Out of this world,https://www.imdb.com/review/rw3248454/?ref_=tt_urv,10,10,https://www.imdb.com/user/ur5876717/?ref_=tt_urv,kosmasp,31 May 2015,442/478 ,"A lot has been said and written about Interstellar. You can obviously take apart any movie that is out there. You'll either love this one or you won't. I kind of would have loved to have watched this on an IMAX screen, the sheer scope of the whole thing. It's just amazing, what Nolan has put on screen here. It's not only the visual experience (there is no 3D here by the way), it's the story/ride you take with it. It might be clear to some earlier than to others, where it's heading (no pun intended), but it doesn't change the fact that it's beautiful ... and terrifying at the same time.

Going out and saying this will be considered a classic, might not be too far stretched, but you still can never predict those things. The deserved love the movie gets on IMDb and other places would be an indicator that this will ring true though. The acting is really good, but I can understand if some people have issues with the ending. But the movie had to end in one way or another. It's the best possible way this could go, even if it's not in our grasps just yet ..."
A visual and auditory marvel,https://www.imdb.com/review/rw3451169/?ref_=tt_urv,10,10,https://www.imdb.com/user/ur53660798/?ref_=tt_urv,Jared_Andrews,13 April 2016,370/419 ,"Interstellar is a movie like no other. Unlike many apocalyptic sci-fi films that feature advanced technology as the source of our destruction (ala The Terminator movies), it instead asserts that technology will save us.

Not everyone in Interstellar recognizes the potential of advanced technology. Most dismiss it as a waste of time and resources, and not just old curmudgeons feel this way. Thoughtful, intelligent young characters share this sentiment. This belief gained steam following a world-wide blight that wiped out the vast majority of life on earth—crops and humans.

Farming became paramount while advanced technology was deemed frivolous. Cooper (McConaughey) remains one of the few survivors who still appreciates the need for engineering. He feels like a man lost in time, until he stumbles into the headquarters of NASA (which had been operating in secret due to public disapproval). Here he meets others who realize that a return to our old ways is unsustainable and will ultimately lead to our demise. We need technology to save us. As Michael Caine, playing the brilliant (duh!) Professor Brand, eloquently tells Cooper, ""we were never meant to save the world. We were meant to leave it."" For a movie that won an Oscar for Best Visual Effects (and deservedly so) the sound stole the show. Hans Zimmer (Dark Knight Trilogy) unleashed a performance that was, quite appropriately, out of this world. Never have I seen a movie elevated so much by its score. The sound literally took my breath away. Forgive me for the next paragraph. I will gush irresponsibly about the magic that is this movie's sound. Skip it if you please. You have your warning.

The music fueled every important scene. In every meaningful moment Zimmer's harmonies captivated watchers' attention in the way of a coach commanding a locker room with a pregame speech. The music elucidated those emotional scenes, particularly ones featuring Cooper and his daughter, in a way that no words or visual ques possibly could. I sat frozen, jaw agape, with tears pouring down my cheeks as the music completely overwhelmed my emotions. The sound penetrated my soul and reverberated through my body, flowing to my appendages, supplying me with life like a heartbeat pumping blood through my veins. The music was truly the life force of movie.

Yes, we all witnessed a visual triumph, a daring creative wonder the likes of which we haven't encountered since Inception. Yes, nearly every actor's performance proved worthy of commendation. McConaughey is on fire. Chastain is blossoming into a star. At this point Michael Cain exudes such knowledge and wisdom by merely appearing on screen that if he were cast as Albert Einstein, people would wonder if the role were beneath him. All this considered, and the sound still towered over everything.

I walked out of the theater believing that I had experienced something unique, something truly special. Interstellar inspires, it awes, and above all it entertains. I cannot ask for more than that."
Masterpiece,https://www.imdb.com/review/rw8127790/?ref_=tt_urv,10,10,https://www.imdb.com/user/ur36129748/?ref_=tt_urv,e-jackson1985,8 May 2022,115/122 ,"Amongst the best movies of all time. The story, the acting, the script, the cinematography, the effects, the sound and the production as a whole is all absolute 10/10's.

But what beats all of that is Hans Zimmers compositions. How he continues to churn out perfection to the senses is mindblowing."
I waited 5 years to watch it again,https://www.imdb.com/review/rw4961107/?ref_=tt_urv,10,10,https://www.imdb.com/user/ur42512491/?ref_=tt_urv,Ksa-2010,26 June 2019,2005/2157 ,After watching this insane movie in the theatres back in 2014 I swore to god I will wait 5 years to watch it again so I get to forget it and experince the insanity it has again This without doubt is THE BEST MOVIE EVER MADE
Masterpiece,https://www.imdb.com/review/rw8274088/?ref_=tt_urv,10,10,https://www.imdb.com/user/ur18622219/?ref_=tt_urv,aheaven2005,25 June 2022,48/53 ,A science-fiction masterpiece. Nolan executes a marvelous direction that slowly but efficiently puts in place a dark world creating a necessity to save humanity. Add to that great performances from Nolan and Hathaway plus a great score from Hans Zimmer. The result is on the best science-fiction movies of all time.
Possibly the best movie of all time,https://www.imdb.com/review/rw6784817/?ref_=tt_urv,10,10,https://www.imdb.com/user/ur94278289/?ref_=tt_urv,theoledoux,6 April 2021,35/38 ,"I think just about everything has been said about this film now. But, I can still tell you what this masterpiece is to me. To me, this movie is possibly the most relevant movie ever, because it questions our own humanity relative to the Universe. Whether that's our ability to love, think, or persevere and walk into the unknown. We are explorers, and curious at heart. This untameable curiosity is not our end, but our beginning. It is what advanced this civilization and it will continue to do so. So never, never let anybody tell you that we shouldn't look towards the stars and wonder, because that's what makes us human. Without this stargazing we are merely animals, accepting our fate in the dust..."
A journey across the galaxy to save humanity,https://www.imdb.com/review/rw3403922/?ref_=tt_urv,9,10,https://www.imdb.com/user/ur13977076/?ref_=tt_urv,Tweekums,27 January 2016,64/76 ,"Set in a future where crop species are going extinct one after another former test pilot Joseph Cooper is now a farmer growing corn. His daughter Murphey thinks there is a ghost in her room; Cooper doesn't believe in ghosts but accepts that something is there when the dust on the floor is a set of coordinates in binary form. He goes to that location and finds himself at a NASA base where he learns of a secret programme to find another habitable world involving a wormhole discovered near Saturn. He is asked to take part in a mission to find the best planet out of three orbiting a black hole; each of which has a scientist who went on a one way mission sending data back. The plan is to find a world to transfer humanity to but if that is impossible there is a back-up plan for the crew to raise the 5000 embryos stored aboard their ship. Time is an issue as it moves at a different rate near the black hole; this means that as hours pass for Cooper years are passing back on Earth.

This film starts at a gentle pace gradually explaining what has happened to the Earth before getting the mission to save the world started; this means the separation of Cooper and Murphey is more emotional. Once the mission is underway there is plenty of tension, including some particularly gripping moments on the second planet they visit. The small cast does a fine job; especially Matthew McConaughey, who plays Cooper; Anne Hathaway, who plays Amelia Brand a scientist aboard the mission; and Mackenzie Foy and Jessica Chastain, who play the younger and older Murphey. The effects looked great, as one would expect in a film from Christopher Nolan, and I was pleased that space was depicted as silent; something that is both scientifically correct but also more impressive. Things do get a little confusing near the end but in a way that made me want to watch again rather than causing frustration.

Overall I'd recommend this to somebody looking for intelligent science fiction in the mould of '2001 – A Space Odyssey' although this has more emotion to it than that classic."
7 years later,https://www.imdb.com/review/rw7492503/?ref_=tt_urv,10,10,https://www.imdb.com/user/ur75870169/?ref_=tt_urv,ravesch-83770,29 October 2021,99/105 ,"Sometimes I just need to see the start. Or end. Or a trailer. Or the music and theme from Hans Zimmer. Or the whole movie. Just to feel that thing, I only get from this movie. That the earth, space and time are something special, mystical. I never forget the first time I saw this movie, in an IMAX theatre in 2014. I was struck by it. Totally got me. And it stil does, 7 years later. This is the best movie ever made for me. Because of the feeling it gives me, no other movie can. So hard to get all of this emotion in only one movie. Brilliant."
Excellent Movie,https://www.imdb.com/review/rw3215295/?ref_=tt_urv,10,10,https://www.imdb.com/user/ur35925566/?ref_=tt_urv,frank-ancestor-hunter,6 April 2015,736/846 ,"I judge a movie by how long it takes me to realize I need the bathroom, how long the movie can hold my interest and how convincing the events unfolding are. Well, I watched this movie all the way through with no bathroom breaks. My interest was grabbed from the start and held all the way through. Being old enough, and lucky enough to have watched the premiere of 2001 A Space Odyssey - and viewed it several times since - of course I made comparisons, and there were a few, but this movie tells an excellent stand alone story that is both riveting and believable. I'm not going to give away any secrets but anyone who watches the last five minutes or so without a lump in their throat and a tear in their eye, well you're a critic, you're not enjoying the movie because you're too busy looking for bloopers and faults. Were there bloopers and faults? The darn movie was so riveting if there were any I didn't notice them!"
Absolutely Brilliant,https://www.imdb.com/review/rw3170297/?ref_=tt_urv,9,10,https://www.imdb.com/user/ur1234929/?ref_=tt_urv,gavin6942,25 January 2015,91/117 ,"A team of explorers travel through a wormhole in an attempt to ensure humanity's survival.

Going into this I had mixed feelings because some have praised it, others have panned it, and some say it is good with reservations. There were allegedly issues with he sound in theaters, and any number of other issues. Then, when we get to the Oscars, the film gets nominations in the technical fields but not in the top honors.

This was wrong. Maybe this is not the best role from Matthew McConaughey or Anne Hathaway. Though, the fact that a ""Hathaway hater"" like myself enjoyed it should say something. And I think Jessica Chastain should have received a Best Supporting nomination. She easily outshines Laura Dern in ""Wild"".

This may be the greatest ever film about physics."
I would rate 11/10,https://www.imdb.com/review/rw4214912/?ref_=tt_urv,10,10,https://www.imdb.com/user/ur87748897/?ref_=tt_urv,mysteryvoiceman,24 June 2018,217/264 ,"I hadn't seen this but movie and caught it on a flight back from the DR. 
One of my favorite movies of all time. I would give the first half of the movie an 11/10, just completely enjoyed it as a sci fi/ thriller(in the sense of so much always being on the line). I loved the acting and just yeah, a great movie and one you should go see if you never have"
A Sci-Fi Masterpiece,https://www.imdb.com/review/rw3130772/?ref_=tt_urv,10,10,https://www.imdb.com/user/ur2079400/?ref_=tt_urv,zardoz-13,25 November 2014,68/88 ,"Hollywood science fiction spectacles about antagonistic aliens abandoning dying worlds to occupy not only Earth, but also to oust us have been popular with moviegoers. Typically, like the European explorers who invaded and disenfranchised millions in the Western Hemisphere during the 15th century, these extraterrestrials—either bug-eyed behemoths with lobster claws or pod people whose seeds have drifted across the cosmos—show up to evict or absorb us. ""Inception"" director Christopher Nolan's latest extravaganza ""Interstellar,"" toplining Matthew McConaughey, Anne Hathaway, Jessica Chastain, Michael Caine, and John Lithgow, is a superior space opera that reverses the action. Earthlings must abandon mother Earth because an environmental blight has devastated farming and millions have starved to death in overpopulated continents. No, ""Interstellar"" doesn't pit Earth against multi-colored ""Guardians of the Galaxy"" aliens or immaculate looking storm troopers in white outfits from the ""Star Wars"" and ""Hunger Games"" franchises. Instead, the ""Interstellar"" scientist heroes must search for a new home for humankind. Rather than an outlandish adventure epic with evil extraterrestrials, ""Interstellar"" qualifies as an intelligent, realistic, sometimes provocative, sci-fi saga similar to Stanley Kubrick's landmark movie ""2001: A Space Odyssey."" Mind you, Nolan doesn't chronicle mankind's evolution from the dawn of time the way Kubrick did in as ""2001."" The casts of ""Interstellar"" and ""2001: A Space Odyssey"" differ, too. Kubrick relied on an unknown cast, while ""Interstellar"" boasts a charismatic array of superstars. If you haven't seen ""2001: A Space Odyssey,"" you won't appreciate some of the clever allusions to the legendary 1968 film. Anybody who has seen ""2001"" will be amused by a joke that a robot makes about blowing an astronaut out of an airlock. Ultimately, the most obvious ""2001"" references in ""Interstellar"" are those bizarre, oblong, Minecraft-style robots that resemble the black monoliths in Kubrick's film. Some of the sci-fi terminology may fly over your head, but Christopher Nolan and his brother Jonathan concern themselves with more than speculative science fiction ideas. They focus on relevant contemporary themes, such as father & daughter relationships and the environment. They forge interesting characters with philosophical dialogue that you will ponder long after the movie.

""Interstellar"" occurs in the late 21st century, after things have waxed really wretched. Bad enough that farmers can grow only corn. Blight has destroyed wheat and okra. Public opinion about NASA has curdled. History textbooks have been rewritten. Everybody believes NASA faked the Apollo moon landings to bankrupt the Soviet Union. A former NASA test pilot, Cooper (Matthew McConaughey of ""Mud""), has turned to farming and reaped rewards where many others have failed. Although his wife died from a brain cyst that an MRI could have detected had an MRI had been available, Cooper perseveres as a farmer and a father of two children, his fifteen-year old son Tom (Timothée Chalamet of ""Worse Friends""), and his precious ten-year old daughter Murph (Mackenzie Foy of ""The Conjuring"") who adore him. Cooper and his kids live with his father-in-law, Donald (John Lithgow of ""Terms of Endearment""), and they contend with tumultuous dust storms on a daily basis. These dust storms recall the Depression Era drought and dust storms of that prompted millions to flee from the plains states. Dust gets into everything, and Donald wages a never-ending war to keep everything clean. Meanwhile, books have been toppling randomly from Murph's bedroom bookcase. She suspects a ghost is responsible, but nothing ghoulish like ""Paranormal Activity."" Naturally, Cooper dismisses the presence of ghosts. One day after a particularly turbulent dust storm, father and daughter examine the way the books have fallen out of the shelves, translate it into code, and come up with coordinates that lead them to a classified NORAD facility. A monolithic robot named Tars confronts them. Later, Murph and Cooper find themselves sitting around a table talking with high-ranking NASA officials. One of them is Professor Brand (Michael Caine of ""Batman Begins""), and Brand confides in Cooper that the world is living on borrowed time. Moreover, he tells him about the 'Lazarus' project. NASA has dispatched manned missions to other parts of the galaxy to find a new home for mankind. He convinces Cooper to sign on as a pilot for one last launch that will take his daughter, biologist Amelia (Oscar winning actress Anne Hathaway of ""Les Misérables); physicist Romilly (David Gyasi); geographer Doyle (Wes Bentley of ""The Hunger Games""); and two robots TARS (voice of Bill Irwin) and CASE (voice of Josh Stewart) deep into space to a recently discovered wormhole which will enable them to explore new worlds. Predictably, Murph isn't happy about her father's departure. During their flight to the wormhole, Cooper and company lose contact with Earth, but Professor Brand can still transmit messages. Gradually, however, things take a turn for the worst. The final quarter hour of ""Interstellar"" will absolutely boggle your mind. Cooper goes where no man has gone before in a desperate bid to save mankind!

""Interstellar"" is a serious sci-fi movie. The computer-generated visual effects are nothing short of dazzling, and Nolan orchestrates the flight sequences so we don't hear any sounds in the vacuum of outer space. The different spacecraft and the Endurance mother ship look as authentic as the outfits that our heroes wear. The strange but new worlds that they encounter during their search to locate a new Earth are breathtaking. One world consists of an eternal sea with towering waves that loom like mountain ranges, while another is as stark and icy as it is inhospitable. The theme of deception runs throughout ""Interstellar."" The faked Apollo moon landing and Dr. Brand's mind-blowing revelation are a few surprises that will maintain your interest throughout ""Interstellar."" Nolan generates several suspenseful set-pieces that will keep you poised on the edge of your seat. Matt Damon has a startling cameo as another astronaut who has succumbed to effects of isolation. Clocking in at 169 minutes, ""Interstellar"" amounts to an unforgettable epic with intense white-knuckled suspense, top-notch performances, and a terrific ending."
Greatest movie of all time,https://www.imdb.com/review/rw4970094/?ref_=tt_urv,10,10,https://www.imdb.com/user/ur104603847/?ref_=tt_urv,FeastMode,1 July 2019,34/43 ,"I rate this movie 11/10 to signify it's greatness. Perfection. Mind-blowing. A workout for your brain. I want to have debates about it. I want to write research papers on it. Amazingly unbelievably awesome, this is the kind of movie that opens up your mind. Lots of amazing scenes with epic music. A killer story told flawlessly. Perfect directing by the best ever. Great cast with great acting. A deep psychological aspect explored for numerous characters.

The most renowned theoretical physicist who is an expert on cosmology was brought on to keep the science honest, as well as a retired astronaut who's been to space five times. One of the rare movies that is better the second, and even the third time watching. The only movie I have ever liked the most the fourth time. I keep picking up on more things and a better overall understanding. So many parts are extremely moving and powerful. It does an awesome job of making you feel what the characters are feeling. (9 viewings, 12/2/16, 2/26/2020, 1/11/2022)

SPOILERS

I was randomly thinking about interstellar, haven't watched it in at least 6 months. I thought about one hypothetical that intrigued me: what if the tesseract is such that it can only be placed inside an already collapsed black hole. If plan B was what ""originally"" happened and Dr. Brand survived, future people figured it out, and they want to save those they left behind on earth, they need to find a love-link between someone who goes into a black hole and someone on earth smart enough to be able to solve the gravity problem = Cooper and Murph. Doctor Brand knows this because she knows cooper loves her, knows he sacrifices himself by falling into the black hole, knows his daughter grows up to be her dad's understudy, so she has the future people put the machine in the same black hole that cooper falls into, thereby making the entire plan work. INTRIGUING. Will need to confirm on next viewing... after watching again, I like this as a viable theory, but it conflicts with another theory I had about the ""original"" mission being completed without cooper.

Lots of awesome concepts that made me think, like murphy's law not applying close to a black hole, human survival instincts and it encompassing your children, love being a quantifiable scientific force, the black hole and time relativity. The robots were cool and original. Really awesome visuals of things I've wondered about but never really imagined. I liked the depiction of the 5 dimensions in 3D in the daughter's room. The way everything connected was very awesome. The different planets were so interesting with ice clouds and giant tidal waves. The endings were perfect.

Something I noticed that I didn't realize the first time was the reason his son became dark and a little crazy. He was still a good person, even after experiencing the death of his son, Jesse. However, once his wife convinced him to let go of the idea that his father was coming back, he gave up on everything in life and became a horrible husband, father and brother.

The relationship between the father and daughter was the best relationship I can remember in any movie I've seen. The primary underlying theme in the movie was the love between a father and his daughter being able to transcend space and time, which is the key to her getting the information she needed to save the world.

From Interstellar group chat discussion:

-Or the other theory I had was that originally plan B was the one that worked and a colony survived and eventually was able to do what they did and wanted to save all the people that ended up dying on earth and try to make plan A work

-So she finds out that plan a was a sham. That the professor had already solved the equation years ago before she even met him. That he knew even with solving the equation that they couldn't figure out how to get the people off earth. She found out they knew they were never coming back and they were going to let everyone on earth to die. So every day since she was 10 that she has been hoping her father would come home was a lie. She should have never been hoping. Her entire 20 years that she dedicated her life to working on this was a complete waste . That should break a person. Murph is a beast.

-The love between them was the only reason the world ended up being saved. It's the only reason she kept trying that hard after all those years. It's the only reason she went back to her house in her room. It's the only reason she saw the watch again. It's the only reason she figured out that the watch twitching was her dad sending the data.

12/2/16: I watched interstellar again wow. I found a flaw in my theory that in the original timeline they used Plan B without Cooper, and then when they became advanced they went back to try to get Cooper so they could save the people that died on earth. The problem is, how would they have gotten past the problems with re-docking onto the spinning blown up ship after Mann backstabbed humanity. It actually makes perfect sense because in the original timeline Cooper would not have convinced them to go to Mann's planet, Brand would have convinced them to go to Edmund's planet which was the right one. In that ""original"" timeline, love still saved humanity since it helped her choose the right planet."
A visual masterpiece.,https://www.imdb.com/review/rw8758239/?ref_=tt_urv,10,10,https://www.imdb.com/user/ur15311310/?ref_=tt_urv,Sleepin_Dragon,26 December 2022,14/16 ,"The fate of humanity rests in the hands of a small number of NASA pilots, who travel through a work hole in search of a new home.

I've only watched it for the second time, the first being when it first arrived on the big screen. My opinion hasn't altered since the viewing, it's an epic masterpiece, the story holds up remarkably well, but the acting and visuals all contribute to make this film something very special.

The story is remarkably good, it's cohesive, well balanced, it makes sense.

Matthew McConaughey's best film role still for me, he's awesome as the lead character, superbly supported by both Anne Hathaway and Michael Caine, it really is a well made epic.

The visuals, the special effects are all tremendous, and have held up as the years have gone past, it remains one of the most incredibly beautiful visual films of all time.

Epic 10/10."
